2025-02-05 21:04:44,585 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-02-05 21:04:44,585 - INFO - Probing node bootstrap-0 broker version
2025-02-05 21:04:44,585 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-02-05 21:04:44,710 - INFO - Broker version identified as 2.5.0
2025-02-05 21:04:44,710 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-02-05 21:04:44,713 - INFO - Conectado a Kafka exitosamente.
2025-02-05 21:04:44,716 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:44', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 57, 'precio_unitario': 2746.98, 'total': 156577.86, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:00,798 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:00', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 16, 'precio_unitario': 2755.45, 'total': 44087.2, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:01,805 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:01', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 9, 'precio_unitario': 206.07, 'total': 1854.63, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:02,811 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:02', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 63, 'precio_unitario': 995.94, 'total': 62744.22, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:03,818 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:03', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 68, 'precio_unitario': 2189.18, 'total': 148864.24, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:04,825 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:04', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 92, 'precio_unitario': 429.22, 'total': 39488.24, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:05,830 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:05', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 43, 'precio_unitario': 1722.01, 'total': 74046.43, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:06,833 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:05:06', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 100, 'precio_unitario': 585.08, 'total': 58508.0, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:05:07,717 - INFO - Closing the Kafka producer with 0 secs timeout.
2025-02-05 21:05:07,718 - INFO - Proceeding to force close the producer since pending requests could not be completed within timeout 0.
2025-02-06 13:08:33,608 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-02-06 13:08:33,609 - INFO - Probing node bootstrap-0 broker version
2025-02-06 13:08:33,610 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-02-06 13:08:33,724 - INFO - Broker version identified as 2.5.0
2025-02-06 13:08:33,724 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-02-06 13:08:33,726 - INFO - Conectado a Kafka exitosamente.
2025-02-06 13:08:33,730 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:33', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 83, 'precio_unitario': 2766.19, 'total': 229593.77, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:33,731 - INFO - <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-02-06 13:08:33,731 - INFO - <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-02-06 13:08:33,731 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-02-06 13:08:34,736 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:34', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 16, 'precio_unitario': 1092.22, 'total': 17475.52, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:35,741 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:35', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 40, 'precio_unitario': 1940.54, 'total': 77621.6, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:36,746 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:36', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 51, 'precio_unitario': 1746.56, 'total': 89074.56, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:37,749 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:37', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 38, 'precio_unitario': 2761.02, 'total': 104918.76, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:38,754 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:38', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 3, 'precio_unitario': 472.36, 'total': 1417.08, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:39,757 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:39', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 99, 'precio_unitario': 1872.14, 'total': 185341.86, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:40,763 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:40', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 80, 'precio_unitario': 2310.14, 'total': 184811.2, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:41,767 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:41', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 69, 'precio_unitario': 2002.87, 'total': 138198.03, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:42,773 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:42', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 10, 'precio_unitario': 449.86, 'total': 4498.6, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:43,780 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:43', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 20, 'precio_unitario': 2251.31, 'total': 45026.2, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:44,784 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:44', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 49, 'precio_unitario': 2840.24, 'total': 139171.76, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:45,789 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:45', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 93, 'precio_unitario': 469.9, 'total': 43700.7, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:46,795 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:46', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 26, 'precio_unitario': 2845.93, 'total': 73994.18, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:47,800 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:47', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 95, 'precio_unitario': 1869.55, 'total': 177607.25, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:48,807 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:48', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 100, 'precio_unitario': 1847.65, 'total': 184765.0, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:49,811 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:49', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 10, 'precio_unitario': 2009.82, 'total': 20098.2, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:50,818 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:50', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 55, 'precio_unitario': 2684.59, 'total': 147652.45, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:51,822 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:51', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 30, 'precio_unitario': 2605.88, 'total': 78176.4, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:52,826 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:52', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 46, 'precio_unitario': 737.49, 'total': 33924.54, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:53,831 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:53', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 54, 'precio_unitario': 438.7, 'total': 23689.8, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:54,833 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:54', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 77, 'precio_unitario': 1630.03, 'total': 125512.31, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:55,839 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:55', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 33, 'precio_unitario': 959.46, 'total': 31662.18, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:56,845 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:56', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 23, 'precio_unitario': 2669.68, 'total': 61402.64, 'estado': 'FALLIDO', 'error': 'ERROR_CONEXION'}
2025-02-06 13:08:57,850 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:57', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 35, 'precio_unitario': 2842.06, 'total': 99472.1, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:58,856 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:58', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 41, 'precio_unitario': 2792.93, 'total': 114510.13, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:08:59,863 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:08:59', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 2, 'precio_unitario': 898.32, 'total': 1796.64, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:00,870 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:00', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 73, 'precio_unitario': 492.23, 'total': 35932.79, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:01,876 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:01', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 82, 'precio_unitario': 2961.87, 'total': 242873.34, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:02,880 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:02', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 64, 'precio_unitario': 2720.83, 'total': 174133.12, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:03,882 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:03', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 95, 'precio_unitario': 911.75, 'total': 86616.25, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:04,889 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:04', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 99, 'precio_unitario': 702.47, 'total': 69544.53, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:05,894 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:05', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 18, 'precio_unitario': 1108.96, 'total': 19961.28, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:06,899 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:06', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 72, 'precio_unitario': 2808.95, 'total': 202244.4, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:07,902 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:07', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 37, 'precio_unitario': 1149.79, 'total': 42542.23, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:08,909 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:08', 'accion': 'TSLA', 'tipo_transaccion': 'COMPRA', 'cantidad': 75, 'precio_unitario': 2105.28, 'total': 157896.0, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:09,914 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:09', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 56, 'precio_unitario': 2325.38, 'total': 130221.28, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:10,921 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:10', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 57, 'precio_unitario': 140.52, 'total': 8009.64, 'estado': 'FALLIDO', 'error': 'ERROR_API'}
2025-02-06 13:09:11,926 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:11', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 30, 'precio_unitario': 1663.33, 'total': 49899.9, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:12,932 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:12', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 9, 'precio_unitario': 1004.67, 'total': 9042.03, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:13,938 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:13', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 26, 'precio_unitario': 2671.06, 'total': 69447.56, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:14,945 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:14', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 68, 'precio_unitario': 887.27, 'total': 60334.36, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:15,947 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:15', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 87, 'precio_unitario': 2181.1, 'total': 189755.7, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:16,954 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:16', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 92, 'precio_unitario': 1518.04, 'total': 139659.68, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:17,960 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:17', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 95, 'precio_unitario': 2075.01, 'total': 197125.95, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:18,964 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:18', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 1, 'precio_unitario': 2741.5, 'total': 2741.5, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:19,967 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:19', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 62, 'precio_unitario': 1233.11, 'total': 76452.82, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:20,974 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:20', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 19, 'precio_unitario': 2202.61, 'total': 41849.59, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:21,980 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:21', 'accion': 'TSLA', 'tipo_transaccion': 'COMPRA', 'cantidad': 31, 'precio_unitario': 1536.1, 'total': 47619.1, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:22,986 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:22', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 89, 'precio_unitario': 714.28, 'total': 63570.92, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:23,991 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:23', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 23, 'precio_unitario': 2335.87, 'total': 53725.01, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:24,998 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:24', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 35, 'precio_unitario': 1094.4, 'total': 38304.0, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:26,005 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:26', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 5, 'precio_unitario': 367.81, 'total': 1839.05, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:27,012 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:27', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 4, 'precio_unitario': 2085.97, 'total': 8343.88, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:28,015 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:28', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 41, 'precio_unitario': 1885.91, 'total': 77322.31, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:29,022 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:29', 'accion': 'GOOGL', 'tipo_transaccion': 'COMPRA', 'cantidad': 13, 'precio_unitario': 499.17, 'total': 6489.21, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:30,026 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:30', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 26, 'precio_unitario': 571.8, 'total': 14866.8, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:31,032 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:31', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 55, 'precio_unitario': 240.35, 'total': 13219.25, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:32,035 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:32', 'accion': 'TSLA', 'tipo_transaccion': 'COMPRA', 'cantidad': 67, 'precio_unitario': 500.35, 'total': 33523.45, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:33,038 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:33', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 36, 'precio_unitario': 2815.5, 'total': 101358.0, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:34,045 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:34', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 15, 'precio_unitario': 1993.52, 'total': 29902.8, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:35,051 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:35', 'accion': 'TSLA', 'tipo_transaccion': 'VENTA', 'cantidad': 6, 'precio_unitario': 2268.06, 'total': 13608.36, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:36,054 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:36', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 85, 'precio_unitario': 548.37, 'total': 46611.45, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:37,061 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:37', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 36, 'precio_unitario': 2927.84, 'total': 105402.24, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:38,064 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:38', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 43, 'precio_unitario': 2825.41, 'total': 121492.63, 'estado': 'EXITOSO', 'error': None}
2025-02-06 13:09:39,071 - INFO - Transacción enviada: {'timestamp': '2025-02-06 13:09:39', 'accion': 'AMZN', 'tipo_transaccion': 'COMPRA', 'cantidad': 98, 'precio_unitario': 740.01, 'total': 72520.98, 'estado': 'EXITOSO', 'error': None}
